,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2020-03-05 22:59:59,2.26622004246e-07,2.31468091002e-08,1.79351954252e-08,1.79351954252e-08
2020-03-05 23:14:59,2.27113432409e-07,2.20298018042e-08,1.80398274812e-08,1.80398274812e-08
2020-03-05 23:29:59,2.28746424316e-07,1.68183330208e-08,1.18442180486e-08,1.18442180486e-08
2020-03-05 23:44:59,2.17016184146e-07,1.76612185386e-08,1.11038503707e-08,1.11038503707e-08
2020-03-05 23:59:59,2.23082420537e-07,1.66664418234e-08,9.5174047764e-09,9.5174047764e-09
2020-03-06 00:14:59,2.47026243331e-07,2.22328488063e-08,1.42166984611e-08,1.42166984611e-08
2020-03-06 00:29:59,2.80153828727e-07,2.41379393631e-08,1.97424683153e-08,1.97424683153e-08
2020-03-06 00:44:59,2.46288719713e-07,1.96487097147e-08,1.50762178246e-08,1.50762178246e-08
2020-03-06 00:59:59,2.49099731929e-07,1.65841977809e-08,1.34903707474e-08,1.34903707474e-08
2020-03-06 01:14:59,2.38933390169e-07,1.57374822685e-08,1.38170012525e-08,1.38170012525e-08
2020-03-06 01:29:59,2.34228718429e-07,1.74303790574e-08,1.55835194455e-08,1.55835194455e-08
2020-03-06 01:44:59,2.48820292906e-07,1.31229463371e-08,9.88165143414e-09,9.88165143414e-09
2020-03-06 01:59:59,2.56433434971e-07,1.68642176626e-08,1.36019638235e-08,1.36019638235e-08
2020-03-06 02:14:59,2.75319635373e-07,2.09064604218e-08,1.74025806673e-08,1.74025806673e-08
2020-03-06 02:29:59,2.63612086144e-07,1.95334881664e-08,1.64017390985e-08,1.64017390985e-08
2020-03-06 02:44:59,2.90465099292e-07,1.60440057363e-08,1.15624326912e-08,1.15624326912e-08
2020-03-06 02:59:59,2.80482943172e-07,1.32452114618e-08,9.77588379851e-09,9.77588379851e-09
2020-03-06 03:14:59,2.77608763713e-07,1.47744965428e-08,1.11466367928e-08,1.11466367928e-08
2020-03-06 03:29:59,2.87819242402e-07,1.95564255633e-08,1.75919611412e-08,1.75919611412e-08
2020-03-06 03:44:59,2.72210977947e-07,1.89609344725e-08,1.69065621951e-08,1.69065621951e-08
2020-03-06 03:59:59,2.63009968536e-07,1.47658677396e-08,1.15648260357e-08,1.15648260357e-08
2020-03-06 04:14:59,2.76489564238e-07,1.3974649548e-08,1.11741751898e-08,1.11741751898e-08
2020-03-06 04:29:59,3.01646391368e-07,1.79958088099e-08,1.33414734108e-08,1.33414734108e-08
2020-03-06 04:44:59,2.98921831174e-07,1.53537513164e-08,1.10355237202e-08,1.10355237202e-08
2020-03-06 04:59:59,2.98538700857e-07,1.32855307718e-08,1.18393041528e-08,1.18393041528e-08
2020-03-06 05:14:59,2.935805501e-07,1.19575019457e-08,1.03357919816e-08,1.03357919816e-08
2020-03-06 05:29:59,2.93164014485e-07,1.44347240536e-08,1.28537258655e-08,1.28537258655e-08
2020-03-06 05:44:59,2.88071707719e-07,1.48830598885e-08,1.31883923981e-08,1.31883923981e-08
2020-03-06 05:59:59,3.02655599996e-07,9.67158345904e-09,7.52228834771e-09,7.52228834771e-09
2020-03-06 06:14:59,2.94356020011e-07,1.04046467719e-08,8.77098296216e-09,8.77098296216e-09
