country_region_code,country_region,sub_region_1,sub_region_2,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AU,Australia,Northern Territory,,AU-NT,,9/4/20,-11,21,-15,-41,-15,11
AU,Australia,Northern Territory,,AU-NT,,10/4/20,-67,-60,-27,-67,-74,30
AU,Australia,Northern Territory,,AU-NT,,11/4/20,-24,7,-19,-54,-30,12
AU,Australia,Northern Territory,,AU-NT,,12/4/20,-36,-25,-15,-57,-27,
AU,Australia,Northern Territory,,AU-NT,,13/4/20,-35,-21,3,-63,-70,25
AU,Australia,Northern Territory,,AU-NT,,14/4/20,-21,-5,-10,-45,-19,12
AU,Australia,Northern Territory,,AU-NT,,15/4/20,-21,-1,-11,-43,-16,13
AU,Australia,Northern Territory,,AU-NT,,16/4/20,-20,0,-11,-43,-18,13
AU,Australia,Northern Territory,,AU-NT,,17/4/20,-21,10,-12,-42,-15,13
AU,Australia,Northern Territory,,AU-NT,,18/4/20,-25,-6,-10,-39,-21,10
AU,Australia,Northern Territory,,AU-NT,,19/4/20,-29,-8,-11,-48,-23,
AU,Australia,Northern Territory,,AU-NT,,20/4/20,-20,0,-15,-39,1,9
AU,Australia,Northern Territory,,AU-NT,,21/4/20,-24,-7,-15,-40,-3,9
AU,Australia,Northern Territory,,AU-NT,,22/4/20,-22,-3,-12,-35,-2,9
AU,Australia,Northern Territory,,AU-NT,,23/4/20,-21,-2,-10,-34,-4,10
AU,Australia,Northern Territory,,AU-NT,,24/4/20,-19,10,-8,-36,-1,9
AU,Australia,Northern Territory,,AU-NT,,25/4/20,-32,-11,-2,-42,-32,11
AU,Australia,Northern Territory,,AU-NT,,26/4/20,-20,-2,-9,-42,-22,8
AU,Australia,Northern Territory,,AU-NT,,27/4/20,-18,2,-4,-35,4,8
AU,Australia,Northern Territory,,AU-NT,,28/4/20,-17,-5,-4,-29,1,6
AU,Australia,Northern Territory,,AU-NT,,29/4/20,-18,2,-13,-33,2,1
AU,Australia,Northern Territory,,AU-NT,,30/4/20,-19,9,-4,-34,-1,9
AU,Australia,Northern Territory,,AU-NT,,1/5/20,-15,22,3,-33,0,8
AU,Australia,Northern Territory,,AU-NT,,2/5/20,-16,13,23,-32,-19,6
AU,Australia,Northern Territory,,AU-NT,,3/5/20,-18,8,28,-37,-21,4
AU,Australia,Northern Territory,,AU-NT,,4/5/20,-22,3,45,-45,-67,19
AU,Australia,Northern Territory,,AU-NT,,5/5/20,-16,8,-3,-30,5,6
AU,Australia,Northern Territory,,AU-NT,,6/5/20,-17,12,0,-28,6,7
AU,Australia,Northern Territory,,AU-NT,,7/5/20,-17,9,6,-29,3,8
AU,Australia,Northern Territory,,AU-NT,,8/5/20,-14,21,7,-26,7,7
AU,Australia,Northern Territory,,AU-NT,,9/5/20,-12,19,30,-29,-15,6
AU,Australia,Northern Territory,,AU-NT,,10/5/20,-14,17,28,-35,-17,5
AU,Australia,Northern Territory,,AU-NT,,11/5/20,-15,9,-1,-33,10,6
AU,Australia,Northern Territory,,AU-NT,,12/5/20,-14,7,-2,-26,7,6
AU,Australia,Northern Territory,,AU-NT,,13/5/20,-15,9,-3,-28,8,6
AU,Australia,Northern Territory,,AU-NT,,14/5/20,-13,12,10,-27,5,6
AU,Australia,Northern Territory,,AU-NT,,15/5/20,-4,17,13,-28,8,4
AU,Australia,Northern Territory,,AU-NT,,16/5/20,-5,16,29,-26,-11,4
AU,Australia,Northern Territory,,AU-NT,,17/5/20,-5,14,21,-40,-12,4
AU,Australia,Northern Territory,,AU-NT,,18/5/20,-2,12,1,-25,13,5
AU,Australia,Northern Territory,,AU-NT,,19/5/20,-5,8,-3,-24,9,4
AU,Australia,Northern Territory,,AU-NT,,20/5/20,-5,18,-2,-27,11,5
AU,Australia,Northern Territory,,AU-NT,,21/5/20,-6,14,3,-27,7,6
AU,Australia,Northern Territory,,AU-NT,,22/5/20,-1,30,5,-26,11,4
AU,Australia,Northern Territory,,AU-NT,,23/5/20,-3,24,25,-26,-9,4
AU,Australia,Northern Territory,,AU-NT,,24/5/20,-4,20,26,-36,-10,3
AU,Australia,Northern Territory,,AU-NT,,25/5/20,-2,22,9,-26,14,4
AU,Australia,Northern Territory,,AU-NT,,26/5/20,-6,13,1,-25,11,4
AU,Australia,Northern Territory,,AU-NT,,27/5/20,-4,19,2,-28,13,4
AU,Australia,Northern Territory,,AU-NT,,28/5/20,-2,18,5,-26,10,5
AU,Australia,Northern Territory,,AU-NT,,29/5/20,0,28,13,-27,13,3
AU,Australia,Northern Territory,,AU-NT,,30/5/20,-3,25,36,-28,-6,3
AU,Australia,Northern Territory,,AU-NT,,31/5/20,-4,21,31,-36,-6,3
AU,Australia,Northern Territory,,AU-NT,,1/6/20,0,19,5,-31,16,4
AU,Australia,Northern Territory,,AU-NT,,2/6/20,-4,15,3,-25,14,3
AU,Australia,Northern Territory,,AU-NT,,3/6/20,-1,19,3,-28,14,4
AU,Australia,Northern Territory,,AU-NT,,4/6/20,-1,17,7,-25,11,4
AU,Australia,Northern Territory,,AU-NT,,5/6/20,12,27,26,-26,9,1
AU,Australia,Northern Territory,,AU-NT,,6/6/20,5,18,51,-32,-8,-1
AU,Australia,Northern Territory,,AU-NT,,7/6/20,4,12,64,-41,-7,-2
AU,Australia,Northern Territory,,AU-NT,,8/6/20,-1,6,73,-45,-63,13
AU,Australia,Northern Territory,,AU-NT,,9/6/20,1,14,2,-25,11,3
AU,Australia,Northern Territory,,AU-NT,,10/6/20,1,13,5,-31,15,3
AU,Australia,Northern Territory,,AU-NT,,11/6/20,4,10,10,-28,10,3
AU,Australia,Northern Territory,,AU-NT,,12/6/20,10,18,18,-30,14,1
AU,Australia,Queensland,,AU-QLD,,15/2/20,3,4,-8,-2,1,1
AU,Australia,Queensland,,AU-QLD,,16/2/20,2,3,-9,-4,-1,1
AU,Australia,Queensland,,AU-QLD,,17/2/20,-2,1,-14,4,16,-1
AU,Australia,Queensland,,AU-QLD,,18/2/20,-2,1,-1,5,12,-2
AU,Australia,Queensland,,AU-QLD,,19/2/20,-3,-1,-6,4,10,-1
AU,Australia,Queensland,,AU-QLD,,20/2/20,-1,1,2,6,10,-2
AU,Australia,Queensland,,AU-QLD,,21/2/20,-1,1,-5,5,15,-2
AU,Australia,Queensland,,AU-QLD,,22/2/20,3,3,-6,3,1,0
AU,Australia,Queensland,,AU-QLD,,23/2/20,1,2,-23,-5,-2,1
AU,Australia,Queensland,,AU-QLD,,24/2/20,-4,-1,-29,5,17,-1
AU,Australia,Queensland,,AU-QLD,,25/2/20,-3,-1,-12,4,13,-1
AU,Australia,Queensland,,AU-QLD,,26/2/20,-3,-1,-5,7,11,-1
AU,Australia,Queensland,,AU-QLD,,27/2/20,-4,0,-10,6,11,-1
AU,Australia,Queensland,,AU-QLD,,28/2/20,0,2,-4,9,17,-2
AU,Australia,Queensland,,AU-QLD,,29/2/20,6,5,1,8,3,0
AU,Australia,Queensland,,AU-QLD,,1/3/20,3,6,5,2,0,0
AU,Australia,Queensland,,AU-QLD,,2/3/20,-2,4,-11,6,18,-2
AU,Australia,Queensland,,AU-QLD,,3/3/20,-2,6,-2,4,14,-2
AU,Australia,Queensland,,AU-QLD,,4/3/20,-2,8,-9,4,11,-1
AU,Australia,Queensland,,AU-QLD,,5/3/20,-3,8,-1,6,11,-2
AU,Australia,Queensland,,AU-QLD,,6/3/20,-1,6,-11,5,16,-2
AU,Australia,Queensland,,AU-QLD,,7/3/20,2,8,-3,-2,2,1
AU,Australia,Queensland,,AU-QLD,,8/3/20,2,5,-7,-4,0,1
AU,Australia,Queensland,,AU-QLD,,9/3/20,-8,-2,-43,-1,16,1
AU,Australia,Queensland,,AU-QLD,,10/3/20,-4,4,-25,1,13,0
AU,Australia,Queensland,,AU-QLD,,11/3/20,-3,5,-9,3,11,0
AU,Australia,Queensland,,AU-QLD,,12/3/20,-4,4,-21,2,10,-1
AU,Australia,Queensland,,AU-QLD,,13/3/20,-1,9,-13,1,15,-1
AU,Australia,Queensland,,AU-QLD,,14/3/20,1,14,-8,-6,2,2
AU,Australia,Queensland,,AU-QLD,,15/3/20,-1,15,-6,-8,-1,2
AU,Australia,Queensland,,AU-QLD,,16/3/20,-1,26,-17,-7,14,1
AU,Australia,Queensland,,AU-QLD,,17/3/20,-4,29,-12,-12,7,2
AU,Australia,Queensland,,AU-QLD,,18/3/20,-6,26,-14,-15,3,4
AU,Australia,Queensland,,AU-QLD,,19/3/20,-9,21,-7,-18,1,3
AU,Australia,Queensland,,AU-QLD,,20/3/20,-11,15,-9,-19,4,4
AU,Australia,Queensland,,AU-QLD,,21/3/20,-15,8,-6,-25,-5,6
AU,Australia,Queensland,,AU-QLD,,22/3/20,-18,1,-10,-30,-11,5
AU,Australia,Queensland,,AU-QLD,,23/3/20,-15,19,-30,-30,0,6
AU,Australia,Queensland,,AU-QLD,,24/3/20,-23,11,-26,-36,-10,9
AU,Australia,Queensland,,AU-QLD,,25/3/20,-24,8,-23,-40,-15,10
AU,Australia,Queensland,,AU-QLD,,26/3/20,-28,7,-17,-46,-21,12
AU,Australia,Queensland,,AU-QLD,,27/3/20,-30,3,-35,-50,-18,13
AU,Australia,Queensland,,AU-QLD,,28/3/20,-34,-3,-35,-49,-26,13
AU,Australia,Queensland,,AU-QLD,,29/3/20,-40,-19,-33,-57,-30,12
AU,Australia,Queensland,,AU-QLD,,30/3/20,-35,-11,-34,-55,-25,13
AU,Australia,Queensland,,AU-QLD,,31/3/20,-34,-9,-28,-56,-30,14
AU,Australia,Queensland,,AU-QLD,,1/4/20,-34,-9,-29,-56,-32,16
AU,Australia,Queensland,,AU-QLD,,2/4/20,-35,-8,-27,-58,-33,15
AU,Australia,Queensland,,AU-QLD,,3/4/20,-35,-7,-33,-58,-29,16
AU,Australia,Queensland,,AU-QLD,,4/4/20,-38,-11,-44,-59,-31,15
AU,Australia,Queensland,,AU-QLD,,5/4/20,-37,-17,-35,-60,-33,12
AU,Australia,Queensland,,AU-QLD,,6/4/20,-31,-8,-33,-58,-33,15
AU,Australia,Queensland,,AU-QLD,,7/4/20,-31,-5,-27,-57,-37,15
AU,Australia,Queensland,,AU-QLD,,8/4/20,-30,-3,-35,-57,-37,16
AU,Australia,Queensland,,AU-QLD,,9/4/20,-21,21,-32,-56,-39,14
AU,Australia,Queensland,,AU-QLD,,10/4/20,-78,-58,-46,-77,-81,31
AU,Australia,Queensland,,AU-QLD,,11/4/20,-34,0,-50,-62,-39,15
AU,Australia,Queensland,,AU-QLD,,12/4/20,-51,-40,-47,-64,-39,13
AU,Australia,Queensland,,AU-QLD,,13/4/20,-46,-27,-29,-73,-77,25
AU,Australia,Queensland,,AU-QLD,,14/4/20,-31,-2,-29,-58,-38,16
AU,Australia,Queensland,,AU-QLD,,15/4/20,-33,-8,-29,-57,-38,17
AU,Australia,Queensland,,AU-QLD,,16/4/20,-34,-5,-23,-58,-38,16
AU,Australia,Queensland,,AU-QLD,,17/4/20,-33,-6,-31,-59,-35,17
AU,Australia,Queensland,,AU-QLD,,18/4/20,-40,-12,-50,-57,-30,14
AU,Australia,Queensland,,AU-QLD,,19/4/20,-41,-18,-43,-60,-32,12
AU,Australia,Queensland,,AU-QLD,,20/4/20,-36,-12,-34,-57,-27,14
AU,Australia,Queensland,,AU-QLD,,21/4/20,-35,-10,-25,-56,-29,14
AU,Australia,Queensland,,AU-QLD,,22/4/20,-36,-11,-26,-55,-30,15
AU,Australia,Queensland,,AU-QLD,,23/4/20,-36,-7,-24,-56,-30,15
AU,Australia,Queensland,,AU-QLD,,24/4/20,-31,-1,-31,-55,-27,14
AU,Australia,Queensland,,AU-QLD,,25/4/20,-62,-54,-31,-58,-49,16
AU,Australia,Queensland,,AU-QLD,,26/4/20,-23,9,-34,-55,-28,10
AU,Australia,Queensland,,AU-QLD,,27/4/20,-31,-6,-33,-56,-25,13
AU,Australia,Queensland,,AU-QLD,,28/4/20,-32,-7,-33,-55,-27,13
AU,Australia,Queensland,,AU-QLD,,29/4/20,-33,-10,-26,-53,-29,7
AU,Australia,Queensland,,AU-QLD,,30/4/20,-34,-5,-24,-56,-29,14
AU,Australia,Queensland,,AU-QLD,,1/5/20,-29,-3,-29,-54,-25,14
AU,Australia,Queensland,,AU-QLD,,2/5/20,-25,3,-19,-49,-25,11
AU,Australia,Queensland,,AU-QLD,,3/5/20,-23,0,-7,-52,-27,8
AU,Australia,Queensland,,AU-QLD,,4/5/20,-54,-47,20,-66,-76,23
AU,Australia,Queensland,,AU-QLD,,5/5/20,-21,17,-24,-53,-25,12
AU,Australia,Queensland,,AU-QLD,,6/5/20,-28,-1,-25,-52,-26,14
AU,Australia,Queensland,,AU-QLD,,7/5/20,-27,1,-20,-52,-26,13
AU,Australia,Queensland,,AU-QLD,,8/5/20,-24,4,-18,-51,-22,13
AU,Australia,Queensland,,AU-QLD,,9/5/20,-17,17,-14,-44,-21,9
AU,Australia,Queensland,,AU-QLD,,10/5/20,-22,-1,0,-47,-20,6
AU,Australia,Queensland,,AU-QLD,,11/5/20,-26,-5,-24,-50,-18,11
AU,Australia,Queensland,,AU-QLD,,12/5/20,-26,-2,-19,-50,-21,12
AU,Australia,Queensland,,AU-QLD,,13/5/20,-27,-3,-19,-48,-22,12
AU,Australia,Queensland,,AU-QLD,,14/5/20,-27,-2,-16,-50,-22,11
AU,Australia,Queensland,,AU-QLD,,15/5/20,-25,2,-14,-49,-21,12
AU,Australia,Queensland,,AU-QLD,,16/5/20,-21,5,-10,-43,-20,8
AU,Australia,Queensland,,AU-QLD,,17/5/20,-21,0,-1,-49,-22,7
AU,Australia,Queensland,,AU-QLD,,18/5/20,-22,-2,-29,-50,-17,11
AU,Australia,Queensland,,AU-QLD,,19/5/20,-23,-1,-18,-49,-19,11
AU,Australia,Queensland,,AU-QLD,,20/5/20,-23,-2,-28,-49,-21,12
AU,Australia,Queensland,,AU-QLD,,21/5/20,-23,-1,-31,-51,-21,12
AU,Australia,Queensland,,AU-QLD,,22/5/20,-21,3,-23,-48,-17,11
AU,Australia,Queensland,,AU-QLD,,23/5/20,-18,7,-34,-47,-18,9
AU,Australia,Queensland,,AU-QLD,,24/5/20,-17,4,1,-48,-19,7
AU,Australia,Queensland,,AU-QLD,,25/5/20,-18,0,-14,-45,-12,9
AU,Australia,Queensland,,AU-QLD,,26/5/20,-20,0,-4,-44,-13,9
AU,Australia,Queensland,,AU-QLD,,27/5/20,-20,-1,-7,-42,-15,10
AU,Australia,Queensland,,AU-QLD,,28/5/20,-21,0,-5,-44,-16,9
AU,Australia,Queensland,,AU-QLD,,29/5/20,-19,4,-10,-43,-12,9
AU,Australia,Queensland,,AU-QLD,,30/5/20,-17,6,2,-39,-14,7
AU,Australia,Queensland,,AU-QLD,,31/5/20,-18,1,1,-47,-17,7
AU,Australia,Queensland,,AU-QLD,,1/6/20,-18,-1,-17,-45,-9,8
AU,Australia,Queensland,,AU-QLD,,2/6/20,-19,0,-11,-44,-12,9
AU,Australia,Queensland,,AU-QLD,,3/6/20,-18,0,-8,-41,-14,9
AU,Australia,Queensland,,AU-QLD,,4/6/20,-18,1,-11,-44,-14,9
AU,Australia,Queensland,,AU-QLD,,5/6/20,-16,4,-12,-42,-10,8
AU,Australia,Queensland,,AU-QLD,,6/6/20,-12,5,6,-33,-13,6
AU,Australia,Queensland,,AU-QLD,,7/6/20,-15,1,3,-45,-16,6
AU,Australia,Queensland,,AU-QLD,,8/6/20,-15,-1,-17,-44,-9,8
AU,Australia,Queensland,,AU-QLD,,9/6/20,-17,-1,-13,-42,-11,8
AU,Australia,Queensland,,AU-QLD,,10/6/20,-17,-2,-30,-44,-13,10
AU,Australia,Queensland,,AU-QLD,,11/6/20,-16,0,-7,-41,-13,8
AU,Australia,Queensland,,AU-QLD,,12/6/20,-14,2,-4,-38,-11,7
AU,Australia,South Australia,,AU-SA,,15/2/20,6,2,5,4,2,0
AU,Australia,South Australia,,AU-SA,,16/2/20,1,2,15,1,-2,0
AU,Australia,South Australia,,AU-SA,,17/2/20,-1,0,-3,10,17,-2
AU,Australia,South Australia,,AU-SA,,18/2/20,-2,-1,-13,7,13,-1
AU,Australia,South Australia,,AU-SA,,19/2/20,0,0,2,6,13,-1
AU,Australia,South Australia,,AU-SA,,20/2/20,4,2,8,10,11,-1
AU,Australia,South Australia,,AU-SA,,21/2/20,5,2,9,19,15,-3
AU,Australia,South Australia,,AU-SA,,22/2/20,8,1,23,15,2,-1
AU,Australia,South Australia,,AU-SA,,23/2/20,2,2,27,9,-2,-1
AU,Australia,South Australia,,AU-SA,,24/2/20,-1,2,-5,14,16,-1
AU,Australia,South Australia,,AU-SA,,25/2/20,0,2,-1,10,14,-1
AU,Australia,South Australia,,AU-SA,,26/2/20,4,0,2,20,13,-2
AU,Australia,South Australia,,AU-SA,,27/2/20,4,3,5,13,12,-1
AU,Australia,South Australia,,AU-SA,,28/2/20,5,3,10,18,17,-3
AU,Australia,South Australia,,AU-SA,,29/2/20,9,2,29,23,4,-1
AU,Australia,South Australia,,AU-SA,,1/3/20,2,4,5,5,-1,0
AU,Australia,South Australia,,AU-SA,,2/3/20,1,5,-12,16,19,-2
AU,Australia,South Australia,,AU-SA,,3/3/20,0,4,-13,12,15,-1
AU,Australia,South Australia,,AU-SA,,4/3/20,1,8,0,13,14,-1
AU,Australia,South Australia,,AU-SA,,5/3/20,6,12,5,17,13,-2
AU,Australia,South Australia,,AU-SA,,6/3/20,7,11,13,20,13,-3
AU,Australia,South Australia,,AU-SA,,7/3/20,8,11,18,13,1,-1
AU,Australia,South Australia,,AU-SA,,8/3/20,12,11,44,6,-2,-2
AU,Australia,South Australia,,AU-SA,,9/3/20,-25,-19,54,-24,-67,12
AU,Australia,South Australia,,AU-SA,,10/3/20,5,18,-2,16,13,-2
AU,Australia,South Australia,,AU-SA,,11/3/20,-1,7,6,14,14,-1
AU,Australia,South Australia,,AU-SA,,12/3/20,3,9,8,21,12,-1
AU,Australia,South Australia,,AU-SA,,13/3/20,4,12,-2,20,17,-2
AU,Australia,South Australia,,AU-SA,,14/3/20,6,18,-3,12,4,1
AU,Australia,South Australia,,AU-SA,,15/3/20,2,21,9,0,0,1
AU,Australia,South Australia,,AU-SA,,16/3/20,0,35,-12,10,16,0
AU,Australia,South Australia,,AU-SA,,17/3/20,-4,40,-19,1,9,2
AU,Australia,South Australia,,AU-SA,,18/3/20,-7,38,-11,-5,6,3
AU,Australia,South Australia,,AU-SA,,19/3/20,-7,31,-14,-8,3,4
AU,Australia,South Australia,,AU-SA,,20/3/20,-10,22,-21,-9,6,4
AU,Australia,South Australia,,AU-SA,,21/3/20,-15,14,-18,-19,-3,6
AU,Australia,South Australia,,AU-SA,,22/3/20,-19,10,-15,-27,-8,6
AU,Australia,South Australia,,AU-SA,,23/3/20,-17,26,-28,-22,2,6
AU,Australia,South Australia,,AU-SA,,24/3/20,-26,16,-33,-33,-9,9
AU,Australia,South Australia,,AU-SA,,25/3/20,-27,13,-26,-39,-12,11
AU,Australia,South Australia,,AU-SA,,26/3/20,-29,10,-18,-42,-17,12
AU,Australia,South Australia,,AU-SA,,27/3/20,-33,7,-26,-43,-15,13
AU,Australia,South Australia,,AU-SA,,28/3/20,-39,-3,-33,-47,-24,14
AU,Australia,South Australia,,AU-SA,,29/3/20,-43,-15,-33,-55,-28,12
AU,Australia,South Australia,,AU-SA,,30/3/20,-38,-6,-36,-49,-20,13
AU,Australia,South Australia,,AU-SA,,31/3/20,-36,-5,-32,-50,-25,14
AU,Australia,South Australia,,AU-SA,,1/4/20,-36,-5,-37,-51,-26,15
AU,Australia,South Australia,,AU-SA,,2/4/20,-34,-2,-20,-50,-28,15
AU,Australia,South Australia,,AU-SA,,3/4/20,-37,-2,-44,-53,-25,16
AU,Australia,South Australia,,AU-SA,,4/4/20,-39,-5,-60,-56,-28,16
AU,Australia,South Australia,,AU-SA,,5/4/20,-40,-13,-48,-59,-30,12
AU,Australia,South Australia,,AU-SA,,6/4/20,-33,-4,-31,-51,-25,13
AU,Australia,South Australia,,AU-SA,,7/4/20,-33,1,-35,-51,-29,15
AU,Australia,South Australia,,AU-SA,,8/4/20,-29,7,-24,-51,-28,14
AU,Australia,South Australia,,AU-SA,,9/4/20,-19,28,-20,-48,-31,14
AU,Australia,South Australia,,AU-SA,,10/4/20,-79,-59,-28,-68,-78,29
AU,Australia,South Australia,,AU-SA,,11/4/20,-33,9,-48,-52,-35,15
AU,Australia,South Australia,,AU-SA,,12/4/20,-64,-38,-35,-56,-37,12
AU,Australia,South Australia,,AU-SA,,13/4/20,-50,-31,-2,-65,-74,24
AU,Australia,South Australia,,AU-SA,,14/4/20,-30,4,-24,-51,-34,15
AU,Australia,South Australia,,AU-SA,,15/4/20,-33,-2,-21,-52,-33,16
AU,Australia,South Australia,,AU-SA,,16/4/20,-32,0,-24,-51,-34,16
AU,Australia,South Australia,,AU-SA,,17/4/20,-33,0,-32,-51,-31,16
AU,Australia,South Australia,,AU-SA,,18/4/20,-36,-5,-42,-49,-26,14
AU,Australia,South Australia,,AU-SA,,19/4/20,-40,-17,-32,-55,-27,11
AU,Australia,South Australia,,AU-SA,,20/4/20,-34,-10,-30,-50,-29,14
AU,Australia,South Australia,,AU-SA,,21/4/20,-33,-7,-22,-48,-31,15
AU,Australia,South Australia,,AU-SA,,22/4/20,-32,-7,-10,-48,-31,14
AU,Australia,South Australia,,AU-SA,,23/4/20,-35,-6,-46,-55,-32,17
AU,Australia,South Australia,,AU-SA,,24/4/20,-29,3,-19,-46,-28,15
AU,Australia,South Australia,,AU-SA,,25/4/20,-46,-22,-37,-50,-38,15
AU,Australia,South Australia,,AU-SA,,26/4/20,-30,-1,-25,-48,-26,10
AU,Australia,South Australia,,AU-SA,,27/4/20,-30,-5,-23,-45,-19,12
AU,Australia,South Australia,,AU-SA,,28/4/20,-31,-4,-44,-46,-22,11
AU,Australia,South Australia,,AU-SA,,29/4/20,-33,-6,-50,-51,-23,8
AU,Australia,South Australia,,AU-SA,,30/4/20,-31,-1,-51,-50,-23,15
AU,Australia,South Australia,,AU-SA,,1/5/20,-31,1,-54,-49,-20,14
AU,Australia,South Australia,,AU-SA,,2/5/20,-27,4,-50,-44,-24,13
AU,Australia,South Australia,,AU-SA,,3/5/20,-31,-7,-22,-48,-24,9
AU,Australia,South Australia,,AU-SA,,4/5/20,-27,-2,-24,-41,-14,10
AU,Australia,South Australia,,AU-SA,,5/5/20,-27,-2,-20,-41,-17,11
AU,Australia,South Australia,,AU-SA,,6/5/20,-27,1,-17,-41,-17,11
AU,Australia,South Australia,,AU-SA,,7/5/20,-24,7,-23,-42,-18,12
AU,Australia,South Australia,,AU-SA,,8/5/20,-23,8,-33,-40,-15,12
AU,Australia,South Australia,,AU-SA,,9/5/20,-18,21,-46,-41,-21,11
AU,Australia,South Australia,,AU-SA,,10/5/20,-27,-3,-22,-41,-19,6
AU,Australia,South Australia,,AU-SA,,11/5/20,-25,3,-21,-38,-12,10
AU,Australia,South Australia,,AU-SA,,12/5/20,-25,-1,-28,-39,-14,11
AU,Australia,South Australia,,AU-SA,,13/5/20,-25,1,-25,-40,-14,11
AU,Australia,South Australia,,AU-SA,,14/5/20,-22,1,-17,-37,-16,10
AU,Australia,South Australia,,AU-SA,,15/5/20,-22,5,-14,-35,-13,9
AU,Australia,South Australia,,AU-SA,,16/5/20,-19,7,-7,-32,-19,8
AU,Australia,South Australia,,AU-SA,,17/5/20,-20,2,12,-38,-21,6
AU,Australia,South Australia,,AU-SA,,18/5/20,-22,7,-11,-34,-9,8
AU,Australia,South Australia,,AU-SA,,19/5/20,-24,0,-26,-39,-12,10
AU,Australia,South Australia,,AU-SA,,20/5/20,-26,0,-41,-41,-13,11
AU,Australia,South Australia,,AU-SA,,21/5/20,-20,4,-24,-37,-14,10
AU,Australia,South Australia,,AU-SA,,22/5/20,-22,7,-43,-40,-11,10
AU,Australia,South Australia,,AU-SA,,23/5/20,-18,11,-35,-32,-17,9
AU,Australia,South Australia,,AU-SA,,24/5/20,-21,1,-18,-41,-20,7
AU,Australia,South Australia,,AU-SA,,25/5/20,-20,7,-21,-37,-9,8
AU,Australia,South Australia,,AU-SA,,26/5/20,-21,0,-27,-36,-10,9
AU,Australia,South Australia,,AU-SA,,27/5/20,-21,3,-23,-37,-10,9
AU,Australia,South Australia,,AU-SA,,28/5/20,-17,4,-13,-35,-11,9
AU,Australia,South Australia,,AU-SA,,29/5/20,-17,7,-7,-30,-8,8
AU,Australia,South Australia,,AU-SA,,30/5/20,-18,10,-39,-33,-16,9
AU,Australia,South Australia,,AU-SA,,31/5/20,-21,4,-36,-44,-18,7
AU,Australia,South Australia,,AU-SA,,1/6/20,-18,7,-38,-35,-5,8
AU,Australia,South Australia,,AU-SA,,2/6/20,-19,0,-36,-36,-8,9
AU,Australia,South Australia,,AU-SA,,3/6/20,-17,3,-20,-34,-9,8
AU,Australia,South Australia,,AU-SA,,4/6/20,-13,5,-9,-31,-10,8
AU,Australia,South Australia,,AU-SA,,5/6/20,-11,9,-10,-29,-10,6
AU,Australia,South Australia,,AU-SA,,6/6/20,-11,8,-4,-25,-14,5
AU,Australia,South Australia,,AU-SA,,7/6/20,-11,4,3,-36,-17,3
AU,Australia,South Australia,,AU-SA,,8/6/20,-29,-26,33,-52,-70,15
AU,Australia,South Australia,,AU-SA,,9/6/20,-13,9,-27,-32,-9,7
AU,Australia,South Australia,,AU-SA,,10/6/20,-15,3,-16,-31,-7,8
AU,Australia,South Australia,,AU-SA,,11/6/20,-12,3,-13,-31,-9,8
AU,Australia,South Australia,,AU-SA,,12/6/20,-11,6,-16,-27,-5,7
AU,Australia,Tasmania,,AU-TAS,,15/2/20,2,-1,-14,-4,0,1
AU,Australia,Tasmania,,AU-TAS,,16/2/20,1,2,-7,1,1,1
AU,Australia,Tasmania,,AU-TAS,,17/2/20,-3,0,-17,12,19,-2
AU,Australia,Tasmania,,AU-TAS,,18/2/20,-3,-2,-9,4,15,-1
AU,Australia,Tasmania,,AU-TAS,,19/2/20,-3,-2,-17,0,15,0
AU,Australia,Tasmania,,AU-TAS,,20/2/20,1,0,10,8,18,-1
AU,Australia,Tasmania,,AU-TAS,,21/2/20,1,0,-3,6,16,-1
AU,Australia,Tasmania,,AU-TAS,,22/2/20,2,-1,4,3,0,0
AU,Australia,Tasmania,,AU-TAS,,23/2/20,0,1,-9,2,-1,0
AU,Australia,Tasmania,,AU-TAS,,24/2/20,-5,-2,-20,14,19,-1
AU,Australia,Tasmania,,AU-TAS,,25/2/20,-3,-1,-1,4,16,-1
AU,Australia,Tasmania,,AU-TAS,,26/2/20,-3,-4,-19,0,10,1
AU,Australia,Tasmania,,AU-TAS,,27/2/20,-2,-2,-6,9,18,0
AU,Australia,Tasmania,,AU-TAS,,28/2/20,0,0,-5,5,17,-1
AU,Australia,Tasmania,,AU-TAS,,29/2/20,3,-3,-5,1,2,0
AU,Australia,Tasmania,,AU-TAS,,1/3/20,-4,-2,-13,4,0,2
AU,Australia,Tasmania,,AU-TAS,,2/3/20,-4,0,-27,7,20,-1
AU,Australia,Tasmania,,AU-TAS,,3/3/20,-3,1,-6,5,16,-1
AU,Australia,Tasmania,,AU-TAS,,4/3/20,0,6,-5,8,18,-2
AU,Australia,Tasmania,,AU-TAS,,5/3/20,-8,-3,-35,-1,15,2
AU,Australia,Tasmania,,AU-TAS,,6/3/20,0,4,-3,9,17,-2
AU,Australia,Tasmania,,AU-TAS,,7/3/20,-2,-2,-11,-3,-3,0
AU,Australia,Tasmania,,AU-TAS,,8/3/20,-4,-5,-4,-12,-2,1
